lsi(R,BLK) ----------------------------- 
capacity  load      query     
4    2    6.857762  2.447358  
6    3    6.031618  1.859022  
8    4    5.930368  1.510652  
10   5    5.902843  1.623288  
12   6    5.708301  1.618880  
14   7    6.068918  1.709983  
16   8    5.535202  1.677928  
18   9    5.476448  1.722503  
20   10   5.478371  1.708571  
22   11   5.466180  1.773792  
24   12   5.473970  1.828771  
26   13   5.286682  1.805761  
28   14   5.234012  1.881108  
30   15   5.219991  1.938315  
32   16   5.253119  1.986743  
34   17   5.264627  1.985955  
36   18   5.272967  2.025869  
38   19   5.280151  2.102965  
40   20   5.256243  2.026648  
42   21   5.205741  2.185887  
44   22   5.203859  2.265167  
46   23   5.208420  2.291178  
48   24   5.208323  2.368383  
50   25   5.199746  2.178758  
52   26   5.852169  2.505041  
54   27   5.247896  2.615863  
56   28   5.256165  2.535364  
58   29   5.260554  2.567835  
60   30   5.228731  2.751520  
62   31   5.201349  2.760711  
64   32   5.213995  2.703440  
66   33   5.208385  2.826535  
68   34   5.246795  2.887180  
70   35   5.654959  2.858522  
72   36   5.717816  2.953695  
74   37   5.862972  2.914857  
76   38   5.206261  2.867116  
78   39   5.211435  3.019479  
80   40   5.215639  3.039835  
82   41   5.292179  3.078092  
84   42   5.447670  3.044668  
86   43   5.253858  3.132683  
88   44   5.244305  3.218694  
90   45   5.703086  3.222887  
92   46   5.442870  3.368998  
94   47   5.318549  3.317936  
96   48   5.697154  3.422079  
98   49   5.292440  3.294745  
100  50   5.272439  3.487357  
102  51   5.273733  3.498599  
104  52   5.281033  3.560622  
106  53   5.273248  3.588439  
108  54   5.295669  3.739371  
110  55   5.706446  3.760551  
112  56   5.239231  3.714232  
114  57   5.316358  3.921085  
116  58   5.793264  3.833606  
118  59   5.388450  3.947645  
120  60   5.581144  4.090250  
122  61   5.742490  4.092102  
124  62   5.281674  4.189876  
126  63   5.302995  3.947775  
128  64   5.471639  4.022694  
130  65   5.930092  4.233499  
132  66   5.242945  4.209869  
134  67   5.706991  4.324246  
136  68   5.301712  4.269203  
138  69   5.304688  4.454150  
140  70   5.598654  4.518873  
142  71   5.430656  4.628897  
144  72   5.477252  4.531997  
146  73   5.469449  4.572744  
148  74   5.391684  4.644844  
150  75   5.141802  4.540557  
152  76   5.402973  4.735293  
154  77   5.134864  4.690028  
156  78   5.081625  4.848400  
158  79   5.052899  4.952775  
160  80   5.135868  5.652997  
162  81   5.728002  4.927125  
164  82   5.099314  4.939005  
166  83   5.101906  5.156382  
168  84   5.150537  5.124931  
170  85   5.383205  5.162223  
172  86   5.897799  5.197568  
174  87   5.229085  5.570990  
176  88   5.358200  5.171640  
178  89   5.279858  5.310609  
180  90   5.559167  5.311701  
182  91   5.175073  5.406282  
184  92   5.658662  5.449493  
186  93   5.187584  5.437572  
188  94   5.255308  5.609072  
190  95   5.563726  5.809252  
192  96   5.262075  5.732234  
194  97   5.756872  5.822912  
196  98   5.155909  5.835832  
198  99   5.089208  6.027094  
200  100  5.770927  5.734016  
